uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
279f20f4-e464-443c-a7b7-65161f447100,1728305814,1728305815,1728305863,64m,448Mi,8,1
279f20f4-e464-443c-a7b7-65161f447100,1728305814,1728305815,1728305863,64m,448Mi,8,1
279f20f4-e464-443c-a7b7-65161f447100,1728305814,1728305815,1728305863,64m,448Mi,8,1
ff711680-2a02-448d-b3c0-4166da8a2848,1728305694,1728305697,1728305866,64m,448Mi,8,1
ff711680-2a02-448d-b3c0-4166da8a2848,1728305694,1728305697,1728305866,64m,448Mi,8,1
ff711680-2a02-448d-b3c0-4166da8a2848,1728305694,1728305697,1728305866,64m,448Mi,8,1
c118c4bf-d698-4d1e-8c5f-d51fac94554f,1728305670,1728305673,1728305881,64m,448Mi,8,1
c118c4bf-d698-4d1e-8c5f-d51fac94554f,1728305670,1728305673,1728305881,64m,448Mi,8,1
c118c4bf-d698-4d1e-8c5f-d51fac94554f,1728305670,1728305673,1728305881,64m,448Mi,8,1
51426629-b486-4c36-8c96-6a681a2c6b0e,1728305846,1728305847,1728305906,64m,448Mi,8,1
51426629-b486-4c36-8c96-6a681a2c6b0e,1728305846,1728305847,1728305906,64m,448Mi,8,1
51426629-b486-4c36-8c96-6a681a2c6b0e,1728305846,1728305847,1728305906,64m,448Mi,8,1
bf07c762-3016-4fc8-8e57-06efe3be5248,1728305481,1728305486,1728305938,8m,32Mi,1,16
bf07c762-3016-4fc8-8e57-06efe3be5248,1728305481,1728305486,1728305938,8m,32Mi,1,16
bf07c762-3016-4fc8-8e57-06efe3be5248,1728305481,1728305486,1728305938,8m,32Mi,1,16
610cb4a1-e9d6-4588-b5ae-8adcaa6e1ef9,1728305922,1728305924,1728305944,64m,448Mi,8,1
610cb4a1-e9d6-4588-b5ae-8adcaa6e1ef9,1728305922,1728305924,1728305944,64m,448Mi,8,1
610cb4a1-e9d6-4588-b5ae-8adcaa6e1ef9,1728305922,1728305924,1728305944,64m,448Mi,8,1
b39ec6fc-5c60-41ea-88c7-c1605c9c6673,1728305964,1728305965,1728305972,64m,448Mi,8,1
b39ec6fc-5c60-41ea-88c7-c1605c9c6673,1728305964,1728305965,1728305972,64m,448Mi,8,1
b39ec6fc-5c60-41ea-88c7-c1605c9c6673,1728305964,1728305965,1728305972,64m,448Mi,8,1
4538d4e8-48b8-48dd-ac95-0eee938348b9,1728305960,1728305963,1728305978,64m,896Mi,8,2
4538d4e8-48b8-48dd-ac95-0eee938348b9,1728305960,1728305963,1728305978,64m,896Mi,8,2
